"Scale","Covariate","Contrast","Sample_estimate","Sample_CI_low","Sample_CI_high","Population_estimate","Population_CI_low","Population_CI_high","Population_design_SE","Population_CI_low_design","Population_CI_high_design","P_gt_0"
"Dollar-scale CATE","Age group","0-17 - 35-49",-48.2307551220673,-91.1141286950012,7.3650576337472,-51.2599044518137,-93.3825338326622,4.48354535708154,1.71705565704402,-99.7957177196338,-2.72409118399364,0.033
"Dollar-scale CATE","Age group","0-17 - 50-64",-75.3085951821539,-124.352850328372,-9.43192776936532,-80.7235915371614,-129.961000953747,-14.0425680521615,2.09816793102383,-138.85045851286,-22.5967245614628,0.01075
"Dollar-scale CATE","Age group","0-17 - 65+",-121.916131184809,-193.543935868051,-29.0495601068272,-123.302373805871,-194.567182033168,-30.3808091791086,2.31160941246955,-204.879589671476,-41.725157940265,0.00575
"Dollar-scale CATE","Age group","18-34 - 35-49",-6.20883695712979,-28.9542099462879,22.5684618661283,-4.03911012205628,-27.9010407176845,26.7517635368293,1.42415284597887,-30.5994628508645,22.5212426067519,0.328
"Dollar-scale CATE","Age group","18-34 - 50-64",-33.2866770172164,-65.8184131526569,13.5505357933066,-33.5027972074039,-67.1293060426291,15.0304903783092,1.54585251900389,-74.3212451528187,7.31565073801085,0.07525
"Dollar-scale CATE","Age group","18-34 - 65+",-79.894213019871,-142.103860736861,-1.78525972409856,-76.0815794761133,-138.214162393217,3.12941666992512,1.86425647418394,-145.895805810255,-6.26735314197134,0.028125
"Dollar-scale CATE","Age group","35-49 - 50-64",-27.0778400600866,-49.0313049115818,5.9641284574772,-29.4636870853477,-51.315670651519,4.33614819101306,1.6173489146007,-56.4945462232694,-2.43282794742592,0.0365
"Dollar-scale CATE","Age group","35-49 - 65+",-73.6853760627413,-127.3941179302,-3.12929787235298,-72.042469354057,-125.44151764402,-1.42053658354686,1.69319358651319,-132.751244703983,-11.3336940041311,0.02375
"Dollar-scale CATE","Age group","50-64 - 65+",-46.6075360026546,-89.5558683308627,9.25831778746085,-42.5787822687093,-84.7033830539478,13.9734537247694,1.76828267313529,-90.3273431402006,5.16977860278193,0.0545
"Dollar-scale CATE","Poverty cat.","Poor - Near-poor",-13.2725999171249,-88.4163367986993,46.9534939146208,-12.5640515688622,-86.4649563417817,45.8952570271384,5.024294543478,-73.710442328034,48.5823391903096,0.317
"Dollar-scale CATE","Poverty cat.","Poor - Low-income",28.8274189024151,-51.0798885445497,90.6558377548609,29.0628952310332,-47.8603003224675,88.536987268794,2.76056535283918,-38.4520161485314,96.5778066105978,0.821375
"Dollar-scale CATE","Poverty cat.","Poor - Middle-income",-56.410480703524,-104.331461477801,-17.3102533509214,-50.019130673648,-95.9251094821008,-12.8974851206046,2.79867617090997,-89.411722523588,-10.6265388237081,0.007625
"Dollar-scale CATE","Poverty cat.","Poor - High-income",-50.5470656593223,-97.6670483279867,5.76545817645278,-45.5525706076268,-90.5339546806255,7.38661224055442,2.72094298811948,-92.2399645560662,1.13482334081262,0.03775
"Dollar-scale CATE","Poverty cat.","Near-poor - Low-income",42.1000188195401,-49.9811210808422,133.428281044649,41.6269467998954,-47.6667900111387,129.699805618971,4.50108162482531,-44.7445095134168,127.998403113208,0.840625
"Dollar-scale CATE","Poverty cat.","Near-poor - Middle-income",-43.1378807863991,-110.684515423568,36.7878009391357,-37.4550791047858,-101.988305513065,40.8384342036721,4.55874039243239,-105.570012669172,30.6598544596002,0.116375
"Dollar-scale CATE","Poverty cat.","Near-poor - High-income",-37.2744657421974,-105.527136584385,47.6786637234238,-32.9885190387646,-99.6112776780376,49.5611625493082,4.78127067431175,-105.653770941412,39.6767328638829,0.159125
"Dollar-scale CATE","Poverty cat.","Low-income - Middle-income",-85.2378996059392,-148.083415136431,-9.11185817463635,-79.0820259046812,-139.182510789813,-6.32027228489956,2.50076807572732,-145.019565626807,-13.1444861825555,0.019125
"Dollar-scale CATE","Poverty cat.","Low-income - High-income",-79.3744845617374,-145.330070130817,6.92122314337232,-74.61546583866,-137.758452836521,8.16157227832476,2.42808184049186,-146.848968770162,-2.38196290715833,0.03575
"Dollar-scale CATE","Poverty cat.","Middle-income - High-income",5.86341504420176,-40.6355072981871,65.013854654061,4.46656006602126,-39.2285415541313,59.8326695633682,2.1724905530229,-44.1069997102057,53.0401198422482,0.542375
"Dollar-scale CATE","Family income (weighted tertile)","Low-income tertile - Middle-income tertile",-35.691317642263,-62.2278251681666,-3.90660971360677,-32.3600485950241,-57.2918603658884,-2.18281790629644,2.16839387957836,-59.5310090555058,-5.18908813454247,0.020125
"Dollar-scale CATE","Family income (weighted tertile)","Low-income tertile - High-income tertile",-16.0521442636498,-59.9417678262693,37.459183735653,-14.6638270366684,-56.8957867360337,35.514856635653,2.2901772299926,-59.8932418213792,30.5655877480424,0.2395
"Dollar-scale CATE","Family income (weighted tertile)","Middle-income tertile - High-income tertile",19.6391733786132,-12.5895816713115,53.8451410419579,17.6962215583558,-13.873934345004,50.9201044551181,2.27487003801994,-14.7863729476795,50.178816064391,0.85325
"Dollar-scale CATE","Region","Northeast - Midwest",9.34865031985293,-51.8521925416675,53.1400668591317,8.89473080656427,-47.1403313162615,50.3726105193075,3.26908382421037,-36.6004373875244,54.3898990006529,0.733375
"Dollar-scale CATE","Region","Northeast - South",43.1138167981697,-1.45714748584469,78.5264138681552,31.9169099180328,-10.2050002955157,65.2091742840002,3.37588649882538,-3.82536256283587,67.6591823989015,0.94675
"Dollar-scale CATE","Region","Northeast - West",-10.0235899376552,-59.5197263037461,35.7943746953416,-9.20089548278586,-56.6577213338571,34.3249155031221,3.65345290536278,-51.3062725501806,32.9044815846089,0.291125
"Dollar-scale CATE","Region","Midwest - South",33.7651664783167,-14.087795919811,87.9236910101303,23.0221791114686,-22.8074792314514,74.5252671764843,2.9662261779142,-23.0057103198463,69.0500685427834,0.86625
"Dollar-scale CATE","Region","Midwest - West",-19.3722402575082,-75.6390278809736,47.2582849240287,-18.0956262893501,-71.8359434662966,44.1697300743968,3.25414430910416,-73.1555820283388,36.9643294496385,0.221875
"Dollar-scale CATE","Region","South - West",-53.1374067358249,-102.688869611141,-0.512430696368686,-41.1178054008187,-89.0772309664882,9.26395663044065,3.38192250803303,-87.6178771410664,5.38226633942906,0.04675
"Dollar-scale CATE","Marital status","Married - Not married",19.3707579277402,-19.5640103214652,51.4563560975108,21.0666042358529,-18.4227973115141,52.4521083098366,1.35493026267014,-14.2232947171379,56.3565031888437,0.877125
"Dollar-scale CATE","Marital status (detailed)","Married - Widowed",-44.8120032180717,-141.164835058895,58.349883209835,-52.1181622641535,-150.699695785869,53.2730701290443,2.11432281458353,-150.202219630618,45.9658951023108,0.141625
"Dollar-scale CATE","Marital status (detailed)","Married - Divorced",-26.6423369099844,-81.3008131142316,49.3015823842546,-28.7582476634386,-82.62091135931,47.1787975674767,2.32069837427949,-91.6805811774601,34.164085850583,0.159125
"Dollar-scale CATE","Marital status (detailed)","Married - Separated",55.9853206494024,-26.8417537664939,119.329146462833,50.9050393649024,-31.8208154254197,114.133012341007,2.75725888524782,-18.5017336701169,120.311812399922,0.92025
"Dollar-scale CATE","Marital status (detailed)","Married - Never married",7.91424178860186,-45.5155062383126,45.8454219567327,3.77587763625481,-48.6767206704259,40.8211185495127,1.50525145074732,-41.0030476315175,48.5548029040272,0.625875
"Dollar-scale CATE","Marital status (detailed)","Married - Under 16",85.9575497641403,14.5458605684533,140.185963810658,84.2016622937121,14.5582856191712,136.311436167116,1.88051059773451,24.3858273909838,144.01749719644,0.991375
"Dollar-scale CATE","Marital status (detailed)","Widowed - Divorced",18.1696663080873,-95.7127667699217,138.852025817401,23.3599146007149,-92.7663483151017,146.471062195258,2.70558281449669,-90.0900276642193,136.809856865649,0.684625
"Dollar-scale CATE","Marital status (detailed)","Widowed - Separated",100.797323867474,-26.9784073979522,216.238755300992,103.023201629056,-26.8637071567821,220.497178685419,2.9632534620236,-16.3619660991646,222.408369357276,0.94725
"Dollar-scale CATE","Marital status (detailed)","Widowed - Never married",52.7262450066736,-60.634202040331,154.707742577918,55.8940399004083,-61.3793707225206,160.865471021724,2.11399705369156,-53.9731748132474,165.761254614064,0.84425
"Dollar-scale CATE","Marital status (detailed)","Widowed - Under 16",130.769552982212,9.01607028873319,240.005571625349,136.319824557866,13.4748185388409,246.307235567245,2.67006424306021,20.527938830095,252.111710285636,0.9845
"Dollar-scale CATE","Marital status (detailed)","Divorced - Separated",82.6276575593869,-23.170213438623,163.276956103567,79.663287028341,-25.6406587717045,160.655328471213,3.25166682929501,-11.1736485597341,170.500222616416,0.944125
"Dollar-scale CATE","Marital status (detailed)","Divorced - Never married",34.5565786985863,-54.0850702795878,99.89661644167,32.5341252996934,-56.547050051801,97.190029715778,2.13147998177539,-44.2928928325467,109.361143431933,0.814
"Dollar-scale CATE","Marital status (detailed)","Divorced - Under 16",112.599886674125,10.7610424263224,190.651993765472,112.959909957151,11.7481018982346,189.525051980415,2.71190034361693,24.4175367220661,201.502283192235,0.983375
"Dollar-scale CATE","Marital status (detailed)","Separated - Never married",-48.0710788608006,-120.124906719912,37.4334083648218,-47.1291617286476,-119.866826423052,38.1548197497992,2.60437380651673,-121.886452537169,27.6281290798738,0.09575
"Dollar-scale CATE","Marital status (detailed)","Separated - Under 16",29.9722291147379,-54.5494391764466,119.818564211855,33.2966229288097,-50.891406118517,123.057936571133,2.95476932667272,-51.0156727984418,117.608918656061,0.79775
"Dollar-scale CATE","Marital status (detailed)","Never married - Under 16",78.0433079755385,17.2708956090741,131.714963951847,80.4257846574573,20.6579122863515,132.578841800591,2.02346891237994,25.4858586986695,135.365710616245,0.994
