"Smearing","Basis","Covariate","Level","N","Weighted_N","Estimate","CI_low","CI_high","P_gt_0","Design_SE","Design_CI_low","Design_CI_high"
"Scalar Duan","Analytic sample","Marital status (detailed)","Separated",342,4862037,143.669926133656,82.4722784117416,228.37178044798,1,NA,NA,NA
"Scalar Duan","Analytic sample","Marital status (detailed)","Never married",4579,88429287,191.741004994456,155.077013307145,233.756980721425,1,NA,NA,NA
"Scalar Duan","Analytic sample","Marital status (detailed)","Under 16",3151,62395395,113.697697018918,67.3409142525123,168.177365719967,1,NA,NA,NA
"Locally smeared","Analytic sample","Overall","All",18763,331946662,193.758949376812,160.259524090665,227.559552042768,1,NA,NA,NA
"Locally smeared","Analytic sample","Sex","Male",8928,163320493,191.37195707457,156.991322015347,227.754823344188,1,NA,NA,NA
"Locally smeared","Analytic sample","Sex","Female",9835,168626169,195.92580929287,153.551692393218,238.204106300685,1,NA,NA,NA
"Locally smeared","Analytic sample","Race and ethnicity","Hispanic",4165,65423507,148.153548195345,115.040924184224,184.031683756306,1,NA,NA,NA
"Locally smeared","Analytic sample","Race and ethnicity","White, non-Hispanic",10243,190318746,225.029892566795,181.961360401439,267.591816180843,1,NA,NA,NA
"Locally smeared","Analytic sample","Race and ethnicity","Black, non-Hispanic",2495,41490550,142.822155486962,86.7639569683116,199.900738752297,1,NA,NA,NA
"Locally smeared","Analytic sample","Race and ethnicity","Asian, non-Hispanic",1143,21264813,215.66315366715,156.840812797318,287.637641114919,1,NA,NA,NA
"Locally smeared","Analytic sample","Race and ethnicity","Other or multiple, non-Hispanic",717,13449046,154.273621729877,68.0916637096372,229.765160796939,0.99975,NA,NA,NA
"Locally smeared","Analytic sample","Age group","0-17",3647,72283273,130.613083004106,84.9204907562604,184.240501839245,1,NA,NA,NA
"Locally smeared","Analytic sample","Age group","18-34",3352,74300254,176.811948821931,142.450919790171,214.462587865619,1,NA,NA,NA
"Locally smeared","Analytic sample","Age group","35-49",3468,63359359,183.948395682471,150.47489317162,218.703823183085,1,NA,NA,NA
"Locally smeared","Analytic sample","Age group","50-64",3760,62096233,208.841156382132,167.967791217432,247.032809959952,1,NA,NA,NA
"Locally smeared","Analytic sample","Age group","65+",4536,59907543,252.05110598907,181.060123259536,315.550444839584,1,NA,NA,NA
"Locally smeared","Analytic sample","Poverty cat.","Poor",2834,36304510,158.236302545269,115.10781039865,202.152738570817,1,NA,NA,NA
"Locally smeared","Analytic sample","Poverty cat.","Near-poor",877,12426678,170.963246053399,104.126852066045,257.55055391601,1,NA,NA,NA
"Locally smeared","Analytic sample","Poverty cat.","Low-income",2458,40133251,130.768770083386,72.2115540935259,205.375772848623,1,NA,NA,NA
"Locally smeared","Analytic sample","Poverty cat.","Middle-income",5243,95527595,218.085070600984,175.391584941563,262.886045833494,1,NA,NA,NA
"Locally smeared","Analytic sample","Poverty cat.","High-income",7351,147554630,213.885601541163,164.096244845111,260.061001468826,1,NA,NA,NA
"Locally smeared","Analytic sample","Family income (weighted tertile)","Low-income tertile",7511,110667520,175.826470791931,139.335375792763,217.238318283878,1,NA,NA,NA
"Locally smeared","Analytic sample","Family income (weighted tertile)","Middle-income tertile",5922,110653084,214.004174908446,178.595772675266,249.26599574721,1,NA,NA,NA
"Locally smeared","Analytic sample","Family income (weighted tertile)","High-income tertile",5330,110626059,196.535426122162,149.296754150473,242.358211310237,1,NA,NA,NA
"Locally smeared","Analytic sample","Region","Northeast",2892,56239594,210.865499768761,164.039066509729,257.116040610594,1,NA,NA,NA
"Locally smeared","Analytic sample","Region","Midwest",3837,68182690,202.458930486074,153.526999231337,259.093835522135,1,NA,NA,NA
"Locally smeared","Analytic sample","Region","South",7375,129312807,165.87804358482,130.870597747056,203.878974419444,1,NA,NA,NA
"Locally smeared","Analytic sample","Region","West",4659,78211572,220.10960594822,170.847634474772,270.776358423921,1,NA,NA,NA
"Locally smeared","Analytic sample","Marital status","Married",7497,132515133,206.470824866898,163.177153948465,248.004957317773,1,NA,NA,NA
"Locally smeared","Analytic sample","Marital status","Not married",11266,199431529,185.299786359843,151.602596261071,221.126828132322,1,NA,NA,NA
"Locally smeared","Analytic sample","Marital status (detailed)","Married",7497,132515133,206.470824866898,163.177153948465,248.004957317773,1,NA,NA,NA
"Locally smeared","Analytic sample","Marital status (detailed)","Widowed",1261,16088547,247.56250030741,136.592547105843,353.294520510833,0.999875,NA,NA,NA
"Locally smeared","Analytic sample","Marital status (detailed)","Divorced",1933,27656264,230.699606858085,147.611614123308,297.80430734915,1,NA,NA,NA
"Locally smeared","Analytic sample","Marital status (detailed)","Separated",342,4862037,145.082212940792,79.5088973226685,234.289124613296,1,NA,NA,NA
"Locally smeared","Analytic sample","Marital status (detailed)","Never married",4579,88429287,199.909355343926,160.153305373473,246.770680305498,1,NA,NA,NA
"Locally smeared","Analytic sample","Marital status (detailed)","Under 16",3151,62395395,115.666672561119,67.9829409589323,172.641757158792,1,NA,NA,NA
"Scalar Duan","Population (survey-weighted)","Overall","All",18763,331946662,184.665081986391,154.886812478679,215.276787942792,1,1.36294731079446,154.628910010209,214.701253962573
"Scalar Duan","Population (survey-weighted)","Sex","Male",8928,163320493,182.563712460591,151.096725027988,216.14914274758,1,1.58518910855901,149.748905729282,215.3785191919
"Scalar Duan","Population (survey-weighted)","Sex","Female",9835,168626169,186.700333739531,147.732557210709,224.863923241047,1,1.33593372314632,148.398289818291,225.002377660771
"Scalar Duan","Population (survey-weighted)","Race and ethnicity","Hispanic",4165,65423507,146.56785324362,115.279121215617,179.499725010613,1,2.92617524837498,114.077979918616,179.057726568623
"Scalar Duan","Population (survey-weighted)","Race and ethnicity","White, non-Hispanic",10243,190318746,208.946160992925,171.023203999459,246.889829643672,1,1.30995016643462,170.745865815884,247.146456169965
"Scalar Duan","Population (survey-weighted)","Race and ethnicity","Black, non-Hispanic",2495,41490550,137.528463357825,85.3350638114303,189.916340948905,1,1.74403913222882,84.8515825447671,190.205344170884
"Scalar Duan","Population (survey-weighted)","Race and ethnicity","Asian, non-Hispanic",1143,21264813,203.766916170087,149.657503384417,269.535388541427,1,4.11906409240439,143.706751554578,263.827080785595
"Scalar Duan","Population (survey-weighted)","Race and ethnicity","Other or multiple, non-Hispanic",717,13449046,141.601591037147,61.2591729790571,211.828815204607,0.99975,3.67456836789768,64.1583948738651,219.044787200429
"Scalar Duan","Population (survey-weighted)","Age group","0-17",3647,72283273,126.957964767331,84.5271372910085,176.164147982035,1,2.03442800609236,80.0305333138976,173.885396220765
"Scalar Duan","Population (survey-weighted)","Age group","18-34",3352,74300254,174.178759097089,143.946474729186,207.863445615038,1,1.69007376919198,141.61539891642,206.742119277758
"Scalar Duan","Population (survey-weighted)","Age group","35-49",3468,63359359,178.217869219145,149.464938804875,208.748791831359,1,1.36210909805028,148.387159580665,208.048578857625
"Scalar Duan","Population (survey-weighted)","Age group","50-64",3760,62096233,207.681556304493,168.102528480743,245.531444526537,1,1.59574350968755,168.987150203505,246.37596240548
"Scalar Duan","Population (survey-weighted)","Age group","65+",4536,59907543,250.260338573202,177.393934939702,316.826119885126,1,1.40020684735641,181.534041443111,318.986635703292
"Scalar Duan","Population (survey-weighted)","Poverty cat.","Poor",2834,36304510,153.065303866788,112.996123089147,194.112246383192,1,2.53206046087692,113.12606202722,193.004545706355
"Scalar Duan","Population (survey-weighted)","Poverty cat.","Near-poor",877,12426678,165.62935543565,102.414369042703,247.243135988188,1,4.6294865787113,96.6421325102599,234.61657836104
"Scalar Duan","Population (survey-weighted)","Poverty cat.","Low-income",2458,40133251,124.002408635754,68.5470915634797,193.639604896317,1,2.33488330249193,62.1575642527321,185.847253018777
"Scalar Duan","Population (survey-weighted)","Poverty cat.","Middle-income",5243,95527595,203.084434540436,165.094549183284,243.82616716951,1,1.9145578205976,163.919819525691,242.249049555181
"Scalar Duan","Population (survey-weighted)","Poverty cat.","High-income",7351,147554630,198.617874474414,155.613266958527,239.841260392563,1,1.30439374582115,156.750296728535,240.485452220294
"Scalar Duan","Population (survey-weighted)","Family income (weighted tertile)","Low-income tertile",7511,110667520,168.991056160549,135.670085573416,206.817792908357,1,2.03929640350674,133.047767572066,204.934344749033
"Scalar Duan","Population (survey-weighted)","Family income (weighted tertile)","Middle-income tertile",5922,110653084,201.351104755574,168.975420767115,233.407666689004,1,1.91690732783534,168.868461226657,233.83374828449
"Scalar Duan","Population (survey-weighted)","Family income (weighted tertile)","High-income tertile",5330,110626059,183.654883197218,142.247434345753,225.101636971806,1,1.55984419552643,143.184152775696,224.125613618739
"Scalar Duan","Population (survey-weighted)","Region","Northeast",2892,56239594,196.757733695295,155.827708640011,238.24884452673,1,2.57322500942911,155.520608269947,237.994859120644
"Scalar Duan","Population (survey-weighted)","Region","Midwest",3837,68182690,187.863002888731,145.21673883766,237.382966711599,1,2.01536423386786,142.046605178372,233.67940059909
"Scalar Duan","Population (survey-weighted)","Region","South",7375,129312807,164.840823777263,132.608354220497,199.508350694571,1,2.20454946195059,131.462433353878,198.219214200647
"Scalar Duan","Population (survey-weighted)","Region","West",4659,78211572,205.958629178081,161.461774067247,253.410394362958,1,2.57113784167324,160.389504561057,251.527753795105
"Scalar Duan","Population (survey-weighted)","Marital status","Married",7497,132515133,197.321769262024,158.695061918216,234.887066384651,1,1.3659923961873,159.093278297448,235.5502602266
"Scalar Duan","Population (survey-weighted)","Marital status","Not married",11266,199431529,176.255165026171,145.105877249634,209.81945821899,1,1.57407727098878,144.203289577518,208.307040474824
"Scalar Duan","Population (survey-weighted)","Marital status (detailed)","Married",7497,132515133,197.321769262024,158.695061918216,234.887066384651,1,1.3659923961873,159.093278297448,235.5502602266
"Scalar Duan","Population (survey-weighted)","Marital status (detailed)","Widowed",1261,16088547,249.439931526177,136.974370468312,358.205768567075,0.999875,2.06222419402595,141.479543872434,357.400319179921
"Scalar Duan","Population (survey-weighted)","Marital status (detailed)","Divorced",1933,27656264,226.080016925462,147.141367782666,291.708098038831,1,2.09603899510494,155.286079194214,296.873954656711
"Scalar Duan","Population (survey-weighted)","Marital status (detailed)","Separated",342,4862037,146.416729897121,85.0563624953086,230.715657749617,1,2.65141495188038,77.4714672771147,215.361992517128
"Scalar Duan","Population (survey-weighted)","Marital status (detailed)","Never married",4579,88429287,193.545891625769,156.957627103199,235.45650476923,1,1.57340051138031,153.98092315131,233.110860100228
"Scalar Duan","Population (survey-weighted)","Marital status (detailed)","Under 16",3151,62395395,113.120106968312,68.2951032438923,167.107987436864,1,2.05625410243011,63.0022756981523,163.237938238471
"Locally smeared","Population (survey-weighted)","Overall","All",18763,331946662,191.092083991601,158.824642772881,223.702073155048,1,1.43785439112576,158.929467914716,223.254700068485
"Locally smeared","Population (survey-weighted)","Sex","Male",8928,163320493,188.674584478206,154.852689410347,224.3067156632,1,1.67925207709584,153.681300564009,223.667868392404
"Locally smeared","Population (survey-weighted)","Sex","Female",9835,168626169,193.433518975996,152.319601949653,233.656380873457,1,1.39297533114554,152.952915932966,233.914122019025
"Locally smeared","Population (survey-weighted)","Race and ethnicity","Hispanic",4165,65423507,150.40202433124,116.959457450717,186.025556498279,1,3.15360148171979,115.444213312274,185.359835350207
"Locally smeared","Population (survey-weighted)","Race and ethnicity","White, non-Hispanic",10243,190318746,216.569611617682,175.956710065166,256.315196563669,1,1.31634232681494,176.307762641249,256.831460594116
"Locally smeared","Population (survey-weighted)","Race and ethnicity","Black, non-Hispanic",2495,41490550,142.355860084829,87.7644224806636,197.019677012494,1,1.81227599689661,87.1190512027014,197.592668966957
"Locally smeared","Population (survey-weighted)","Race and ethnicity","Asian, non-Hispanic",1143,21264813,211.240702270033,154.289909337911,281.788650230724,1,4.23820330932283,147.771556882448,274.709847657618
"Locally smeared","Population (survey-weighted)","Race and ethnicity","Other or multiple, non-Hispanic",717,13449046,146.990179350734,64.5791604318901,219.287768718384,0.99975,3.87541694524519,67.844866550162,226.135492151307
"Locally smeared","Population (survey-weighted)","Age group","0-17",3647,72283273,130.943163375426,85.9279783632436,183.56474626843,1,2.22459157564986,80.9190898658129,180.967236885039
"Locally smeared","Population (survey-weighted)","Age group","18-34",3352,74300254,182.754839755251,147.066466198461,221.456991157188,1,1.8200492590421,144.814814605064,220.694864905438
"Locally smeared","Population (survey-weighted)","Age group","35-49",3468,63359359,187.463175837572,152.898851772554,222.974098956564,1,1.45570563091676,151.924888235673,223.00146343947
"Locally smeared","Population (survey-weighted)","Age group","50-64",3760,62096233,214.789291180141,171.955160947073,254.356254687954,1,1.61551145477299,173.818381359519,255.760201000764
"Locally smeared","Population (survey-weighted)","Age group","65+",4536,59907543,253.281885138018,181.852909095387,316.587998938685,1,1.38902220233105,187.150984199197,319.412786076838
"Locally smeared","Population (survey-weighted)","Poverty cat.","Poor",2834,36304510,155.848863625628,114.047166326088,198.876124881335,1,2.71903431378526,113.768569134735,197.929158116521
"Locally smeared","Population (survey-weighted)","Poverty cat.","Near-poor",877,12426678,167.581577235516,102.712134496137,252.433886101397,1,5.07504337621045,95.706916029777,239.456238441255
"Locally smeared","Population (survey-weighted)","Poverty cat.","Low-income",2458,40133251,128.346223611967,71.6501533232024,201.379690524861,1,2.44913514087738,64.1401759047352,192.552271319199
"Locally smeared","Population (survey-weighted)","Poverty cat.","Middle-income",5243,95527595,209.392482265451,169.186976626842,252.011091503261,1,1.99165015794031,168.012535715557,250.772428815344
"Locally smeared","Population (survey-weighted)","Poverty cat.","High-income",7351,147554630,206.96178360389,159.416066434898,251.164180217554,1,1.31814095513256,161.75335914782,252.170208059959
"Locally smeared","Population (survey-weighted)","Family income (weighted tertile)","Low-income tertile",7511,110667520,173.031804329525,138.607740476519,212.62555493599,1,2.14595991950309,135.542796600622,210.520812058427
"Locally smeared","Population (survey-weighted)","Family income (weighted tertile)","Middle-income tertile",5922,110653084,207.717313277543,173.465623872497,241.566288984749,1,1.97562055459456,173.56719870457,241.867427850517
"Locally smeared","Population (survey-weighted)","Family income (weighted tertile)","High-income tertile",5330,110626059,192.529841708052,146.816251043147,237.109091031806,1,1.62780517446476,148.015976077035,237.043707339069
"Locally smeared","Population (survey-weighted)","Region","Northeast",2892,56239594,203.976596340048,160.130981004274,247.366329037556,1,2.6106432226129,160.243136942952,247.710055737143
"Locally smeared","Population (survey-weighted)","Region","Midwest",3837,68182690,195.687751627247,149.489704563024,249.749168884428,1,2.13577854143043,145.774514978262,245.600988276232
"Locally smeared","Population (survey-weighted)","Region","South",7375,129312807,170.476106989925,135.529708294898,208.757626721297,1,2.39493238983403,134.017086970666,206.935127009183
"Locally smeared","Population (survey-weighted)","Region","West",4659,78211572,211.906716463602,165.381202032645,259.677390599957,1,2.65459728207351,164.977413050121,258.836019877084
"Locally smeared","Population (survey-weighted)","Marital status","Married",7497,132515133,204.881852341996,162.144549638988,245.811070892718,1,1.40943871886059,163.46360687499,246.300097809003
"Locally smeared","Population (survey-weighted)","Marital status","Not married",11266,199431529,181.92927509841,148.516392380723,216.924449659049,1,1.67069077599657,147.777682847156,216.080867349664
"Locally smeared","Population (survey-weighted)","Marital status (detailed)","Married",7497,132515133,204.881852341996,162.144549638988,245.811070892718,1,1.40943871886059,163.46360687499,246.300097809003
"Locally smeared","Population (survey-weighted)","Marital status (detailed)","Widowed",1261,16088547,252.606975813475,139.692584551934,360.100065997536,0.999875,2.0687073678146,144.686561266082,360.527390360869
"Locally smeared","Population (survey-weighted)","Marital status (detailed)","Divorced",1933,27656264,230.609843192269,149.442342690708,295.185028391124,1,2.09806268530387,159.615055784222,301.604630600317
"Locally smeared","Population (survey-weighted)","Marital status (detailed)","Separated",342,4862037,147.957829874613,82.4262699996446,236.932158127796,1,2.84533764603394,74.0609075436164,221.854752205609
"Locally smeared","Population (survey-weighted)","Marital status (detailed)","Never married",4579,88429287,202.61200130002,162.000431238605,249.631836875611,1,1.63550576063462,158.546056488053,246.677946111986
"Locally smeared","Population (survey-weighted)","Marital status (detailed)","Under 16",3151,62395395,115.462631455196,68.3154661579387,172.59065764377,1,2.26283732922732,62.535762362676,168.389500547715
