"Scale","Covariate","Contrast","Sample_estimate","Sample_CI_low","Sample_CI_high","Population_estimate","Population_CI_low","Population_CI_high","Population_design_SE","Population_CI_low_design","Population_CI_high_design","P_gt_0"
"Participation-margin CATE","Age group","35-49 - 65+",0.00325504843506464,-0.0130500413540752,0.0325610779422985,0.00570457487628691,-0.0105585444063057,0.0354233754497734,0.00120234543436801,-0.0166301440770775,0.0280392938296513,0.67325
"Participation-margin CATE","Age group","50-64 - 65+",0.00387313900055049,-0.00822410319922884,0.031678995611218,0.00760976007510021,-0.00495685426020013,0.0352742139464348,0.00124540624015271,-0.0118545721325253,0.0270740922827257,0.831375
"Participation-margin CATE","Poverty cat.","Poor - Near-poor",-0.00786676539826671,-0.0683059513006249,0.0448936329949471,-0.00743751833853907,-0.0668307744114228,0.0452813654507369,0.00299021296878415,-0.0548063437947892,0.0399313071177111,0.2315
"Participation-margin CATE","Poverty cat.","Poor - Low-income",0.0552471057660394,-0.00782627035714902,0.107535357942625,0.0551445083124195,-0.00751276051856633,0.107024327803642,0.00161713775691935,-0.000321711942835062,0.110610728567674,0.940375
"Participation-margin CATE","Poverty cat.","Poor - Middle-income",-0.0233916022636996,-0.0655603954392962,7.57141579543497e-06,-0.0220146931569739,-0.06422484649397,0.00105927815976255,0.00158483824277475,-0.0527804133134581,0.00875102699951018,0.027875
"Participation-margin CATE","Poverty cat.","Poor - High-income",-0.0106404599705987,-0.046299303412871,0.0172706590278699,-0.0100866430263264,-0.0457374735325538,0.0176061063602419,0.00164010258589001,-0.0420839288302912,0.0219106427776384,0.266
"Participation-margin CATE","Poverty cat.","Near-poor - Low-income",0.0631138711643061,-0.00594616585970097,0.136381997928416,0.0625820266509586,-0.00651227264783732,0.135233331515312,0.00281204462890131,-0.00709019794900555,0.132254251250923,0.9485
"Participation-margin CATE","Poverty cat.","Near-poor - Middle-income",-0.0155248368654329,-0.0723677213618353,0.0466655569181483,-0.0145771748184349,-0.0711631419923293,0.0477221784157874,0.00268246755895206,-0.0675991666145374,0.0384448169776676,0.1785
"Participation-margin CATE","Poverty cat.","Near-poor - High-income",-0.00277369457233201,-0.0588780509292793,0.0593081645060729,-0.00264912468778731,-0.058871858905139,0.0592731483872878,0.00279068934606924,-0.0566271902930534,0.0513289409174788,0.441375
"Participation-margin CATE","Poverty cat.","Low-income - Middle-income",-0.078638708029739,-0.128107360580895,-0.0243996526257343,-0.0771592014693935,-0.126285621318741,-0.0233638812948998,0.00140418717992186,-0.127259916873666,-0.0270584860651206,0.000625
"Participation-margin CATE","Poverty cat.","Low-income - High-income",-0.0658875657366381,-0.115815502607363,-0.0134327487257691,-0.0652311513387459,-0.115100448966887,-0.0135820771104429,0.00146729950647092,-0.115817855159663,-0.0146444475178289,0.007875
"Participation-margin CATE","Poverty cat.","Middle-income - High-income",0.0127511422931009,-0.0138206476126887,0.0439647056109014,0.0119280501306476,-0.0148467039450935,0.0432704060443788,0.00126765944989974,-0.0169454681948702,0.0408015684561654,0.793
"Participation-margin CATE","Family income (weighted tertile)","Low-income tertile - Middle-income tertile",-0.023258482363755,-0.042093900891036,-0.00758878593191227,-0.0236827752086667,-0.0415694592005129,-0.00790163006217873,0.00142214089848754,-0.0402768118009387,-0.0070887386163947,0.002375
"Participation-margin CATE","Family income (weighted tertile)","Low-income tertile - High-income tertile",-0.00433068749779101,-0.0354522254389084,0.0244748708740052,-0.00508404989145331,-0.0367127986358177,0.0240165332204216,0.00145199278429921,-0.0357394710998716,0.025571371316965,0.38425
"Participation-margin CATE","Family income (weighted tertile)","Middle-income tertile - High-income tertile",0.018927794865964,-0.00614791284920798,0.0431646778996478,0.0185987253172134,-0.00698007807736828,0.0434188398187019,0.00167906423882329,-0.00810053757078146,0.0452979882052082,0.87875
"Participation-margin CATE","Region","Northeast - Midwest",0.00176052009767179,-0.0143308482955597,0.0350941467406804,0.000676341159628893,-0.0157445598403097,0.0343443458689223,0.00210939017875335,-0.0223481314290615,0.0237008137483193,0.324375
"Participation-margin CATE","Region","Northeast - South",0.0140475877046947,-0.00185700142034004,0.0395034960279324,0.00993137063330082,-0.00584731086057489,0.0351907483128819,0.00202299005844961,-0.00815455875827542,0.0280173000248771,0.95325
"Participation-margin CATE","Region","Northeast - West",-0.00592591860017239,-0.0422909408478359,0.00907335394369858,-0.0051349311300098,-0.0415249566614071,0.0101942385631825,0.00213698936235626,-0.0310957050680592,0.0208258428080396,0.40625
"Participation-margin CATE","Region","Midwest - South",0.0122870676070229,-0.0201197375076471,0.0394114964509927,0.00925502947367193,-0.0227838135180648,0.0358616089008655,0.00186414289860268,-0.0163342960623803,0.0348443550097242,0.845625
"Participation-margin CATE","Region","Midwest - West",-0.00768643869784418,-0.0468091564048663,0.0154590792012802,-0.00581127228963869,-0.0447382433823906,0.0175051418270019,0.00193997259612287,-0.0376838513998444,0.0260613068205671,0.474375
"Participation-margin CATE","Region","South - West",-0.019973506304867,-0.0558903997653761,0.000364456751274043,-0.0150663017633106,-0.0503758576541656,0.0046929397545719,0.00184876796468326,-0.0433000390753147,0.0131674355486935,0.0605
"Participation-margin CATE","Marital status","Married - Not married",0.0217863881841304,0.00125606802877131,0.0422109897425237,0.0249620538134678,0.00380952084208232,0.0456842070984108,0.00102105790335735,0.00403771335586829,0.0458863942710673,0.987125
"Participation-margin CATE","Marital status (detailed)","Married - Widowed",0.0150899909820893,-0.0234546489965921,0.0799088934003797,0.0151547290008583,-0.0236559651773034,0.0800055175606966,0.00122599736338712,-0.0361943828338832,0.0665038408355998,0.6945
"Participation-margin CATE","Marital status (detailed)","Married - Divorced",-0.00178270624095306,-0.0336040654135177,0.0291738318358381,-0.00141334743091645,-0.0334148819099946,0.0296440107572958,0.001358872343261,-0.028019701219773,0.0251930063579401,0.415875
"Participation-margin CATE","Marital status (detailed)","Married - Separated",0.00885620590147848,-0.0695653678809318,0.0613529795619298,0.00792825004725206,-0.0707154420973297,0.0607135633393617,0.00222259158981501,-0.0497663817614133,0.0656228818559174,0.744125
