"Scale","Covariate","Level","N","Weighted_N","Sample_estimate","Sample_CI_low","Sample_CI_high","Population_estimate","Population_CI_low","Population_CI_high","Population_design_SE","Population_total_SE","Population_CI_low_design","Population_CI_high_design","P_gt_0"
"Participation-margin CATE","Age group","65+",4536,59907543.327419,0.14735635209523,0.119553415895029,0.169528783841906,0.147751487184588,0.120297989461944,0.16944919096965,0.000709058306671018,0.0122551316615612,0.123731429127928,0.171771545241248,1
"Participation-margin CATE","Poverty cat.","Poor",2834,36304509.735843,0.132965485523535,0.10007287133688,0.160616559937988,0.132073099103151,0.0995496844520401,0.159285385176414,0.0013378354191719,0.0152609042651446,0.102161726743467,0.161984471462834,1
"Participation-margin CATE","Poverty cat.","Near-poor",877,12426677.974733,0.14053482265905,0.0902870803288491,0.202013265364636,0.139345758067614,0.0893262088080902,0.200967019383566,0.00238464779173063,0.0258804076899414,0.0886201589953289,0.190071357139899,0.999875
"Participation-margin CATE","Poverty cat.","Low-income",2458,40133250.639111,0.0802397124770558,0.0339891860445397,0.130618921049219,0.0794091888138572,0.0332486959448746,0.129405130182998,0.00123768954443167,0.0241562251916183,0.0320629874382854,0.126755390189429,0.99975
"Participation-margin CATE","Poverty cat.","Middle-income",5243,95527594.619779,0.156431348986375,0.134425933288666,0.180831881979685,0.154445370243636,0.132795427362319,0.17866501019153,0.000917830713867135,0.0117654736988245,0.131385041793939,0.177505698693332,1
"Participation-margin CATE","Poverty cat.","High-income",7351,147554629.51951,0.148896831979127,0.127462120064026,0.169615250372769,0.148356973229187,0.126742805424146,0.169545036135133,0.000639332443188477,0.0110427005794089,0.126713280093545,0.170000666364828,1
"Participation-margin CATE","Family income (weighted tertile)","Low-income tertile",7511,110667519.902844,0.129001062863941,0.107729087172629,0.150154990220898,0.12784708216546,0.10713577331546,0.148507406577119,0.00109449962996256,0.0106317276101808,0.107008896049506,0.148685268281414,1
"Participation-margin CATE","Family income (weighted tertile)","Middle-income tertile",5922,110653083.794845,0.150536492528155,0.132826240331613,0.169183265914787,0.150045257441606,0.132228936759049,0.168983568934161,0.00123158302252845,0.00947057479014909,0.131482930852914,0.168607584030298,1
"Participation-margin CATE","Family income (weighted tertile)","High-income tertile",5330,110626058.791287,0.141014731971036,0.117009797928827,0.164228686108949,0.141074047194216,0.116412366033238,0.164762016906562,0.000818715037245393,0.0123936943522451,0.116782406263815,0.165365688124616,1
"Participation-margin CATE","Region","Northeast",2892,56239593.873715,0.144564541418601,0.124920908800698,0.164990431589149,0.143260634046966,0.123509306951811,0.163803156110277,0.00151209202027448,0.0102820149860042,0.123107884674398,0.163413383419534,1
"Participation-margin CATE","Region","Midwest",3837,68182689.612873,0.1420825748535,0.115160073865634,0.163809808186723,0.141772675965028,0.115225622583165,0.163485913427679,0.00124315257158747,0.0119859758005348,0.11828016339598,0.165265188534077,1
"Participation-margin CATE","Region","South",7375,129312806.827561,0.129882234744945,0.108911871648923,0.149339170457202,0.132839874247894,0.112473344846585,0.151821764422787,0.00118485701605947,0.00994267667718957,0.113352227960603,0.152327520535186,1
"Participation-margin CATE","Region","West",4659,78211572.174827,0.14828925490212,0.127019895207244,0.176220748715731,0.146483394203826,0.125540785445723,0.174057276422169,0.00134358389499137,0.0122985619733213,0.122378212736116,0.170588575671536,1
"Participation-margin CATE","Marital status","Married",7497,132515133.217507,0.15376795208421,0.134462718335809,0.173676630015594,0.156203001028297,0.136704615263264,0.176276483566078,0.000747768768524131,0.0101495781218499,0.136309827909471,0.176096174147123,1
"Participation-margin CATE","Marital status","Not married",11266,199431529.271469,0.129523724174782,0.11080315956613,0.14781041112326,0.128659166367008,0.110095831995242,0.147250445716372,0.000886889113541312,0.00943227102710493,0.110171915153882,0.147146417580133,1
"Participation-margin CATE","Marital status (detailed)","Married",7497,132515133.217507,0.15376795208421,0.134462718335809,0.173676630015594,0.156203001028297,0.136704615263264,0.176276483566078,0.000747768768524131,0.0101495781218499,0.136309827909471,0.176096174147123,1
"Participation-margin CATE","Marital status (detailed)","Widowed",1261,16088547.334164,0.136819393544617,0.0757271324543546,0.175553010609206,0.139010802540178,0.0776551774037248,0.176958979894819,0.0010200857203222,0.0254834562388759,0.089063228311981,0.188958376768374,0.99975
"Participation-margin CATE","Marital status (detailed)","Divorced",1933,27656263.620979,0.152437744759192,0.121497971037139,0.183134393149006,0.154125978996214,0.123243854301886,0.184584885132022,0.0010852449856102,0.0151237787184369,0.124483372708078,0.183768585284351,1
"Participation-margin CATE","Marital status (detailed)","Separated",342,4862036.649274,0.143034523285137,0.0931610556951344,0.22463379756694,0.14555536277223,0.096333915400055,0.226687076346117,0.00210284452162459,0.0309150632437559,0.0849618388144684,0.206148886729991,1
"Participation-margin CATE","Marital status (detailed)","Never married",4579,88429286.827285,0.147294197786405,0.124623082546917,0.172549958514549,0.150257625888454,0.12714672846058,0.175620227155527,0.000820451470891988,0.0121342410657019,0.126474513399678,0.17404073837723,1
"Participation-margin CATE","Marital status (detailed)","Under 16",3151,62395394.839767,0.0852570365110605,0.0413660130754265,0.127976808531586,0.0827752357055442,0.0401819442078424,0.124665556772159,0.00120382588093886,0.0215562742734468,0.0405249381295885,0.1250255332815,1
