"Scale","Covariate","Level","N","Weighted_N","Sample_estimate","Sample_CI_low","Sample_CI_high","Population_estimate","Population_CI_low","Population_CI_high","Population_design_SE","Population_total_SE","Population_CI_low_design","Population_CI_high_design","P_gt_0"
"Dollar-scale CATE","Family income (weighted tertile)","Low-income tertile",7511,110667519.902844,172.199463016248,136.589559503272,212.715332677037,168.991056160549,135.670085573416,206.817792908357,2.03929640350674,18.3384125451447,133.047767572066,204.934344749033,1
"Dollar-scale CATE","Family income (weighted tertile)","Middle-income tertile",5922,110653083.794845,207.890780658511,173.709447208881,242.161083180847,201.351104755574,168.975420767115,233.407666689004,1.91690732783534,16.5727773106717,168.868461226657,233.83374828449,1
"Dollar-scale CATE","Family income (weighted tertile)","High-income tertile",5330,110626058.791287,188.251607279898,144.987849574901,230.874075762712,183.654883197218,142.247434345753,225.101636971806,1.55984419552643,20.648331847715,143.184152775696,224.125613618739,1
"Dollar-scale CATE","Region","Northeast",2892,56239593.873715,204.393524554753,159.661666959825,249.48069486188,196.757733695295,155.827708640011,238.24884452673,2.57322500942911,21.0393497068104,155.520608269947,237.994859120644,1
"Dollar-scale CATE","Region","Midwest",3837,68182689.612873,195.0448742349,149.369826313709,247.820769443511,187.863002888731,145.21673883766,237.382966711599,2.01536423386786,23.3757131175302,142.046605178372,233.67940059909,1
"Dollar-scale CATE","Region","South",7375,129312806.827561,161.279707756584,128.684470274063,196.398253017416,164.840823777263,132.608354220497,199.508350694571,2.20454946195059,17.0297910323392,131.462433353878,198.219214200647,1
"Dollar-scale CATE","Region","West",4659,78211572.174827,214.417114492409,166.667049243314,265.172389490842,205.958629178081,161.461774067247,253.410394362958,2.57113784167324,23.2495533760327,160.389504561057,251.527753795105,1
"Dollar-scale CATE","Marital status","Married",7497,132515133.217507,199.655246783058,159.345428723214,239.487724126398,197.321769262024,158.695061918216,234.887066384651,1.3659923961873,19.5043321247836,159.093278297448,235.5502602266,1
"Dollar-scale CATE","Marital status","Not married",11266,199431529.271469,180.284488855318,147.939362620382,214.960906962196,176.255165026171,145.105877249634,209.81945821899,1.57407727098878,16.3529976778843,144.203289577518,208.307040474824,1
"Dollar-scale CATE","Marital status (detailed)","Married",7497,132515133.217507,199.655246783058,159.345428723214,239.487724126398,197.321769262024,158.695061918216,234.887066384651,1.3659923961873,19.5043321247836,159.093278297448,235.5502602266,1
"Dollar-scale CATE","Marital status (detailed)","Widowed",1261,16088547.334164,244.46725000113,134.250002049812,351.337264326076,249.439931526177,136.974370468312,358.205768567075,2.06222419402595,55.0818304355835,141.479543872434,357.400319179921,0.999875
"Dollar-scale CATE","Marital status (detailed)","Divorced",1933,27656263.620979,226.297583693042,144.556658483674,294.359404033338,226.080016925462,147.141367782666,291.708098038831,2.09603899510494,36.119355985331,155.286079194214,296.873954656711,1
"Dollar-scale CATE","Marital status (detailed)","Separated",342,4862036.649274,143.669926133656,82.4722784117416,228.37178044798,146.416729897121,85.0563624953086,230.715657749617,2.65141495188038,35.1761543979626,77.4714672771147,215.361992517128,1
"Dollar-scale CATE","Marital status (detailed)","Never married",4579,88429286.827285,191.741004994456,155.077013307145,233.756980721425,193.545891625769,156.957627103199,235.45650476923,1.57340051138031,20.1862084053364,153.98092315131,233.110860100228,1
"Dollar-scale CATE","Marital status (detailed)","Under 16",3151,62395394.839767,113.697697018918,67.3409142525123,168.177365719967,113.120106968312,68.2951032438923,167.107987436864,2.05625410243011,25.570322076612,63.0022756981523,163.237938238471,1
