"Scale","Covariate","Contrast","Sample_estimate","Sample_CI_low","Sample_CI_high","Population_estimate","Population_CI_low_design","Population_CI_high_design"
"Dollar-scale CATE","Age group","0-17 - 65+",-57.1623657524722,-219.292610251857,92.2865156923352,-56.6246328027326,-215.346068629886,102.096803024421
"Dollar-scale CATE","Age group","18-34 - 35-49",28.3994775143691,-10.0572545576424,69.144769324534,36.396648999541,-8.81330426396097,81.606602263043
"Dollar-scale CATE","Age group","18-34 - 50-64",29.8362974137004,-42.6763889521915,103.519676866969,42.9203840016454,-34.3175256143908,120.158293617682
"Dollar-scale CATE","Age group","18-34 - 65+",-15.4248458091701,-179.816217254601,136.475203554171,-9.08958287823889,-170.162309282234,151.983143525756
"Dollar-scale CATE","Age group","35-49 - 50-64",1.43681989933124,-43.6715810866142,45.7172822920235,6.52373500210431,-39.6916016829001,52.7390716871087
"Dollar-scale CATE","Age group","35-49 - 65+",-43.8243233235392,-191.397023984356,90.0380775535917,-45.4862318777799,-187.583417239528,96.6109534839686
"Dollar-scale CATE","Age group","50-64 - 65+",-45.2611432228704,-159.263680844022,50.2445074205455,-52.0099668798842,-159.363833252293,55.3438994925246
"Dollar-scale CATE","Poverty cat.","Poor - Near-poor",-248.255531119886,-792.498692058156,146.760177496141,-238.577988223597,-685.619035335107,208.463058887912
"Dollar-scale CATE","Poverty cat.","Poor - Low-income",-10.2097898016715,-215.45979490842,203.491820311512,-12.7355072204756,-214.653954645874,189.182940204922
"Dollar-scale CATE","Poverty cat.","Poor - Middle-income",-32.5923096251653,-200.022219676012,160.010857892652,-37.5339188889881,-207.462183272882,132.394345494906
"Dollar-scale CATE","Poverty cat.","Poor - High-income",84.984091246158,-78.1361676708183,273.904758341521,68.9675595931801,-104.929288921524,242.864408107884
"Dollar-scale CATE","Poverty cat.","Near-poor - Low-income",238.045741318214,-145.925738928432,777.038317163028,225.842481003122,-217.88248082444,669.567442830683
"Dollar-scale CATE","Poverty cat.","Near-poor - Middle-income",215.663221494721,-143.659697930103,746.576587257205,201.044069334609,-226.654362661671,628.742501330889
"Dollar-scale CATE","Poverty cat.","Near-poor - High-income",333.239622366044,-28.1493630166703,868.342802812772,307.545547816777,-121.481860485603,736.572956119158
"Dollar-scale CATE","Poverty cat.","Low-income - Middle-income",-22.3825198234938,-172.843344179852,147.96535146321,-24.7984116685125,-176.73504421282,127.138220875796
"Dollar-scale CATE","Poverty cat.","Low-income - High-income",95.1938810478295,-60.8937781711855,266.734062183174,81.7030668136557,-76.7010482852084,240.10718191252
"Dollar-scale CATE","Poverty cat.","Middle-income - High-income",117.576400871323,-1.74972556966592,233.502239209288,106.501478482168,-5.29879673101057,218.301753695347
"Dollar-scale CATE","Family income (weighted tertile)","Low-income tertile - Middle-income tertile",71.2509299513511,-20.0326895489282,173.027137533817,62.9379570206214,-25.1948283586447,151.070742399888
"Dollar-scale CATE","Family income (weighted tertile)","Low-income tertile - High-income tertile",138.249803701708,13.270684661728,271.036343808174,124.061970775726,2.76674878844344,245.357192763008
"Dollar-scale CATE","Family income (weighted tertile)","Middle-income tertile - High-income tertile",66.9988737503567,-16.021466810386,154.770824108233,61.1240137551045,-20.3827525113971,142.630780021606
"Dollar-scale CATE","Region","Northeast - Midwest",-51.0753446528866,-215.425925810648,114.040811175584,-43.8038572284848,-198.619859981765,111.012145524796
"Dollar-scale CATE","Region","Northeast - South",-122.457812534991,-263.987415766684,22.3601494415484,-117.339270475537,-257.292361382764,22.6138204316894
"Dollar-scale CATE","Region","Northeast - West",-31.1452725094066,-195.971828052177,125.178660509619,-30.0720982597811,-181.417712537549,121.273516017987
"Dollar-scale CATE","Region","Midwest - South",-71.3824678821048,-191.449769829259,44.8982500297034,-73.5354132470523,-187.896924644433,40.8260981503283
"Dollar-scale CATE","Region","Midwest - West",19.93007214348,-117.34289993521,156.817009255897,13.7317589687037,-117.054381859577,144.517899796984
"Dollar-scale CATE","Region","South - West",91.3125400255848,-24.3112466207488,207.291507050322,87.2671722157561,-26.4091584813563,200.943502912868
"Dollar-scale CATE","Marital status","Married - Not married",-72.3708017686331,-173.54797268986,25.7218035368014,-65.8341241928872,-160.354117495383,28.6858691096086
"Dollar-scale CATE","Marital status (detailed)","Married - Widowed",-239.047888527473,-673.756111408053,107.689503824378,-238.526328989069,-633.854504950552,156.801846972414
"Dollar-scale CATE","Marital status (detailed)","Married - Divorced",31.2957032072378,-163.789111215621,217.983299483655,37.1378798362346,-150.492802111681,224.76856178415
"Dollar-scale CATE","Marital status (detailed)","Married - Separated",-16.0878981911313,-287.383041769981,213.862501753527,-10.4892157356176,-264.01198683678,243.033555365545
"Dollar-scale CATE","Marital status (detailed)","Married - Never married",-116.664629098441,-233.365915386927,-4.86292365181907,-110.207705214927,-222.903666064502,2.48825563464787
"Dollar-scale CATE","Marital status (detailed)","Married - Under 16",-11.0045261087717,-125.389274165935,95.6044700584621,-8.37185503370076,-120.140354308753,103.396644241351
"Dollar-scale CATE","Marital status (detailed)","Widowed - Divorced",270.343591734711,-115.375578087926,709.593463149334,275.664208825304,-147.998892346785,699.327309997392
"Dollar-scale CATE","Marital status (detailed)","Widowed - Separated",222.959990336342,-200.311901872261,715.207556139092,228.037113253451,-233.080512489682,689.154738996585
"Dollar-scale CATE","Marital status (detailed)","Widowed - Never married",122.383259429032,-214.344655616938,560.082785970514,128.318623774142,-270.402914529713,527.040162077997
"Dollar-scale CATE","Marital status (detailed)","Widowed - Under 16",228.043362418702,-112.773285907398,657.538874742061,230.154473955368,-167.008056377402,627.317004288139
"Dollar-scale CATE","Marital status (detailed)","Divorced - Separated",-47.3836013983691,-361.535802240623,231.402476702769,-47.6270955718522,-349.098616711358,253.844425567654
"Dollar-scale CATE","Marital status (detailed)","Divorced - Never married",-147.960332305679,-342.304409205388,45.0007581924866,-147.345585051162,-342.357567166705,47.6663970643808
"Dollar-scale CATE","Marital status (detailed)","Divorced - Under 16",-42.3002293160094,-237.352630480564,151.948690100682,-45.5097348699353,-238.539172893088,147.519703153217
"Dollar-scale CATE","Marital status (detailed)","Separated - Never married",-100.57673090731,-333.757298036879,174.100825165928,-99.7184894793096,-357.055597230428,157.618618271808
"Dollar-scale CATE","Marital status (detailed)","Separated - Under 16",5.08337208235964,-223.828900195456,277.687889271056,2.11736070191687,-254.943533834509,259.178255238343
"Dollar-scale CATE","Marital status (detailed)","Never married - Under 16",105.660102989669,-13.0086535359736,228.917231011119,101.835850181227,-20.9504437596996,224.622144122153
