"DGP","N","ZI_Level","Zero_Proportion","Model","CATE_RMSE","CATE_Abs_Bias","CATE_Coverage","CATE_Correlation","CATE_CI_Length","ATE_RMSE","ATE_Abs_Bias","CATE_RMSE_Median","ATE_AbsErr_Median","N_Seeds","N_Diverged","Diverge_Rate"
"DGP B: Gamma Hurdle",500,3,0.4,"Gamma Hurdle",17320785136.785,10545389116.4122,0.74126,-0.0400647965807177,153367288191.079,74467204065.3474,10545389115.6553,3.70432556419549,0.784155702157899,100,5,0.05
"DGP B: Gamma Hurdle",1000,3,0.4,"Gamma Hurdle",9.08376752256902,2.59564007263434,0.62514,-0.0740450124521306,13.3136264926434,11.7939559620375,0.863562641980743,3.56931984769902,0.73270302185929,100,1,0.01
"DGP B: Gamma Hurdle",100,3,0.4,"Gamma +.01",2676884806.95629,1072116852.2239,0.8049,-0.0648313090806225,215277678811.539,7863734889.70173,304310171.739516,11.0148850990733,2.65908843687324,100,8,0.08
"DGP B: Gamma Hurdle",250,3,0.4,"Gamma +.01",44643284412.277,44280304361.3797,0.7698,-0.0159109082794052,49443039600.1908,441921014368.272,44280304360.4466,5.21818061350939,1.15121549363481,100,5,0.05
"DGP B: Gamma Hurdle",500,3,0.4,"Gamma +.01",511917814.93791,124608455.421984,0.6891,-0.0679128461497302,964909845.992409,865574793.96355,50142432.1163819,4.14535118452291,0.691842118464756,100,9,0.09
"DGP B: Gamma Hurdle",1000,3,0.4,"Gamma +.01",58702572405.422,48470513731.1011,0.61882,-0.0978329555440678,14227879290.5587,484704373833.299,48470513729.9591,3.68276654170507,0.564007254014999,100,2,0.02
"DGP B: Gamma Hurdle",100,3,0.4,"ZIC-BCF-Smear",1.88986515457159,0.867087283512864,0.9609,0.457803543489785,7.94250741441963,1.1524125266737,0.244551637504958,1.55810782091982,0.714617349428945,100,0,0
"DGP B: Gamma Hurdle",250,3,0.4,"ZIC-BCF-Smear",1.72953442124468,0.607878286637994,0.93756,0.580644764261988,5.65604608774132,0.778326526237412,0.077965930970589,1.55125366679738,0.524440313498965,100,0,0
"DGP B: Gamma Hurdle",500,3,0.4,"ZIC-BCF-Smear",1.6563964328404,0.530787461985141,0.91662,0.645017572315702,4.75256278145027,0.641046352246816,0.0671151919403635,1.53676536458841,0.493959638304425,100,0,0
"DGP B: Gamma Hurdle",1000,3,0.4,"ZIC-BCF-Smear",1.53120015745784,0.367749067099583,0.90587,0.685850257165815,3.89415828615889,0.464731883736587,0.155715085746605,1.40222410783052,0.30970410635367,100,0,0
"DGP C: Tweedie Semicontinuous",100,3,0.4,"BCF-Linear",0.290339463656489,0.151257859342152,0.9489,0.113415657246714,1.02257445880539,0.19680571714055,0.0590930110685882,0.215819881845069,0.125490459404044,100,0,0
"DGP C: Tweedie Semicontinuous",250,3,0.4,"BCF-Linear",0.261364754850024,0.0974679518584824,0.93604,0.106247883042841,0.771917398598665,0.115910489719799,0.0365663738504029,0.209065533514818,0.0896256827594007,100,0,0
"DGP C: Tweedie Semicontinuous",500,3,0.4,"BCF-Linear",0.301572239483585,0.0916807798985047,0.91564,0.0600234923489027,0.63765266604099,0.110873975588345,0.0263104668245565,0.197098411039666,0.0781495708567805,100,0,0
