"DGP","N","ZI_Level","Zero_Proportion","Model","CATE_RMSE","CATE_Abs_Bias","CATE_Coverage","CATE_Correlation","CATE_CI_Length","ATE_RMSE","ATE_Abs_Bias"
"DGP C: Tweedie Semicontinuous",500,3,0.18,"Gamma Hurdle",2.06700371875732,0.420825343495715,0.94994,0.943558611006301,4.96082068186183,0.533966603712062,0.0505674246328136
"DGP C: Tweedie Semicontinuous",500,4,0.115,"Gamma Hurdle",2.06700371875732,0.420825343495715,0.94994,0.943558611006301,4.96082068186183,0.533966603712062,0.0505674246328136
"DGP C: Tweedie Semicontinuous",500,5,0.028,"Gamma Hurdle",4.51652807372972,0.931720747072786,0.96086,0.963614258277391,11.7071903818874,1.19029699386056,0.138468479148646
"DGP C: Tweedie Semicontinuous",500,1,0.6,"Gamma +.01",3.30667541123992,2.71012850863124,0.91274,0.707970979910912,3.80719926974688,26.7399501388761,2.68758210018939
"DGP C: Tweedie Semicontinuous",500,2,0.397,"Gamma +.01",0.51723303500442,0.0969340979519778,0.94526,0.785974837025145,1.27740832558327,0.123004515950283,0.0181622045228448
"DGP C: Tweedie Semicontinuous",500,3,0.18,"Gamma +.01",2.54927832338614,0.470308902135668,0.95126,0.914452980341326,5.66230812751238,0.613980041977714,0.0123993025303994
"DGP C: Tweedie Semicontinuous",500,4,0.115,"Gamma +.01",2.54927832338614,0.470308902135668,0.95126,0.914452980341326,5.66230812751238,0.613980041977714,0.0123993025303994
"DGP C: Tweedie Semicontinuous",500,5,0.028,"Gamma +.01",5.04362926293955,0.970493959677529,0.95486,0.954398207036198,11.8230472522791,1.24107412828657,0.140310589247334
"DGP C: Tweedie Semicontinuous",500,1,0.6,"ZIC-BCF-Smear",0.109385280348157,0.0367293882668742,0.9773,0.80032943607407,0.318331452876618,0.0450820474954794,0.000878464084472748
"DGP C: Tweedie Semicontinuous",500,2,0.397,"ZIC-BCF-Smear",0.405998248775634,0.108438397777616,0.98922,0.870925251403374,1.16738949239628,0.132709798333067,0.00621134511728269
"DGP C: Tweedie Semicontinuous",500,3,0.18,"ZIC-BCF-Smear",2.47107129337438,0.698647486001581,0.9821,0.916212099723245,7.40369156980253,0.84997159988693,0.224387621046843
"DGP C: Tweedie Semicontinuous",500,4,0.115,"ZIC-BCF-Smear",2.47107129337438,0.698647486001581,0.9821,0.916212099723245,7.40369156980253,0.84997159988693,0.224387621046843
"DGP C: Tweedie Semicontinuous",500,5,0.028,"ZIC-BCF-Smear",6.04130756144331,1.35566377976381,0.97312,0.927911843198195,16.5743235890439,1.66511625029294,0.117075096031081
